Date,Open,High,Low,Close,Volume,Adj Close
2008-01-09,171.299995,179.499996,168.299994,179.399994,453470500.0,23.590714
2008-01-10,177.580006,181.000004,175.409996,178.020002,370743800.0,23.409248
2008-01-11,175.999996,177.849998,170.000006,172.690001,308071400.0,22.708364
2008-01-14,177.520004,179.419994,175.170004,178.780006,275112600.0,23.509187
2008-01-15,177.719995,179.220003,164.660004,169.039997,585819500.0,22.228396
2008-01-16,165.230003,169.009996,156.699995,159.639996,553461300.0,20.992316
2008-01-17,161.509998,165.360006,158.419994,160.889997,439464900.0,21.156689
2008-01-18,161.710003,165.750002,159.609995,161.359995,431085900.0,21.218493
2008-01-22,148.059998,159.980003,146.000004,155.639997,608688500.0,20.466325
2008-01-23,136.190006,140.0,126.140003,139.070005,843242400.0,18.287407
2008-01-24,139.99,140.700003,132.010004,135.600006,501466700.0,17.831109
2008-01-25,138.990004,139.090006,129.610003,130.009998,388684800.0,17.096035
2008-01-28,128.159996,133.200005,126.449997,130.009998,368711000.0,17.096035
2008-01-29,131.149998,132.789995,129.050003,131.540007,274995700.0,17.297228
2008-01-30,131.370003,135.450003,129.999998,132.179995,310762900.0,17.381385
2008-01-31,129.449999,136.650003,129.399998,135.360001,336418600.0,17.799549
2008-02-01,136.239994,136.590002,132.179995,133.750004,252686000.0,17.587838
2008-02-04,134.210001,135.9,131.420004,131.649996,224808500.0,17.311692
2008-02-05,130.429995,133.999996,128.9,129.359997,285260500.0,17.010562
2008-02-06,130.830004,131.920002,121.769997,122.000002,393318100.0,16.042738
2008-02-07,119.969995,124.779999,117.27,121.239998,520832900.0,15.942799
2008-02-08,122.080004,125.700006,121.600006,125.480001,338993200.0,16.500351
2008-02-11,128.010006,129.979998,127.200001,129.449999,300358100.0,17.022397
2008-02-12,130.700001,130.999994,123.619999,124.860001,306495000.0,16.418822
2008-02-13,126.680002,129.780006,125.630005,129.399998,242133500.0,17.015822
2008-02-14,129.399998,130.800003,127.009996,127.459993,238524300.0,16.760715
2008-02-15,126.270006,127.079998,124.059996,124.629995,225325100.0,16.388577
2008-02-19,125.99,126.750004,121.440002,122.180006,251261500.0,16.066408
2008-02-20,122.200006,124.599995,121.679995,123.820004,241859800.0,16.282064
2008-02-21,126.050001,126.469997,120.860003,121.540005,234528700.0,15.982249
2008-02-22,122.48,122.51,115.869995,119.459997,382469500.0,15.708733
2008-02-25,118.590004,120.17,116.66,119.740004,314193600.0,15.745553
2008-02-26,117.639996,121.089994,115.439999,119.150003,376222000.0,15.667969
